# iBin   k_center   P(k)
0  1.03274  8.6381e-06
1  1.10147  0.0
2  1.17478  0.0
3  1.25296  0.0
4  1.33635  0.0
5  1.42528  3.71984e-05
6  1.52014  0.0
7  1.62131  0.0
8  1.72921  3.33559e-05
9  1.84429  0.0
10  1.96703  2.02751e-06
11  2.09794  0.0
12  2.23756  3.06593e-05
13  2.38648  2.99393e-05
14  2.5453  0.0
15  2.7147  0.0
16  2.89536  4.67011e-05
17  3.08806  2.86154e-05
18  3.29357  2.1621e-05
19  3.51277  3.778e-05
20  3.74655  2.57317e-05
21  3.99589  6.2968e-05
22  4.26182  3.34799e-05
23  4.54545  2.38112e-05
24  4.84796  1.98919e-05
25  5.1706  2.32038e-05
26  5.51472  1.95085e-05
27  5.88173  1.89038e-05
28  6.27317  1.8061e-05
29  6.69066  1.48335e-05
30  7.13594  1.55908e-05
31  7.61085  1.44804e-05
32  8.11737  1.60211e-05
33  8.65759  1.31649e-05
34  9.23378  1.41463e-05
35  9.8483  1.04949e-05
36  10.5037  1.05896e-05
37  11.2028  9.23293e-06
38  11.9483  9.2014e-06
39  12.7435  8.6371e-06
40  13.5916  7.00699e-06
41  14.4962  6.81968e-06
42  15.4609  6.12373e-06
43  16.4899  5.2841e-06
44  17.5873  4.95123e-06
45  18.7578  4.65015e-06
46  20.0061  4.26853e-06
47  21.3376  3.99545e-06
48  22.7576  3.47947e-06
49  24.2722  3.19313e-06
50  25.8876  2.80531e-06
51  27.6104  2.57089e-06
52  29.448  2.34084e-06
53  31.4078  2.10535e-06
54  33.498  1.86258e-06
55  35.7274  1.70817e-06
56  38.1051  1.53646e-06
57  40.6411  1.46169e-06
58  43.3458  1.36517e-06
59  46.2306  1.23771e-06
60  49.3073  1.16787e-06
61  52.5888  1.13751e-06
62  56.0887  1.10544e-06
63  59.8215  1.12479e-06
64  63.8028  1.15326e-06
65  68.0489  1.19666e-06
66  72.5778  1.22549e-06
67  77.4079  1.30042e-06
68  82.5596  1.36712e-06
69  88.0541  1.35243e-06
70  93.9143  1.35464e-06
71  100.164  1.27449e-06
72  106.831  1.09392e-06
73  113.94  1.11636e-06
74  121.523  1.15158e-06
75  129.611  1.17494e-06
76  138.237  1.13467e-06
77  147.437  1.11426e-06
78  157.249  1.15421e-06
79  167.714  1.20041e-06
