# iBin   k_center   P(k)
0  1.03867  2.50163e-07
1  1.12056  0.0
2  1.2089  0.0
3  1.30421  0.0
4  1.40703  7.75358e-06
5  1.51796  0.0
6  1.63763  0.0
7  1.76674  3.35092e-05
8  1.90602  0.0
9  2.05629  2.06345e-07
10  2.2184  1.75276e-05
11  2.3933  2.97266e-05
12  2.58198  0.0
13  2.78554  7.39112e-06
14  3.00515  1.94215e-05
15  3.24207  1.89665e-05
16  3.49767  1.31362e-05
17  3.77341  2.53761e-05
18  4.0709  1.48332e-05
19  4.39185  1.68604e-05
20  4.73809  1.72568e-05
21  5.11163  1.40614e-05
22  5.51462  1.45957e-05
23  5.94938  1.29123e-05
24  6.41842  1.35306e-05
25  6.92444  1.18619e-05
26  7.47035  1.21206e-05
27  8.0593  1.02653e-05
28  8.69467  9.51542e-06
29  9.38015  1.01403e-05
30  10.1197  5.98023e-05
31  10.9175  8.41256e-06
32  11.7782  7.04252e-06
33  12.7068  6.71595e-06
34  13.7085  5.69657e-06
35  14.7893  5.44703e-06
36  15.9552  4.72844e-06
37  17.2131  4.21896e-06
38  18.5702  3.97364e-06
39  20.0342  8.70968e-06
40  21.6137  3.24834e-06
41  23.3176  2.81184e-06
42  25.156  2.51205e-06
43  27.1392  2.21874e-06
44  29.2788  2.6922e-06
45  31.5871  1.74134e-06
46  34.0774  1.55515e-06
47  36.764  1.39233e-06
48  39.6624  1.28636e-06
49  42.7893  1.09807e-06
50  46.1627  9.92821e-07
51  49.8021  8.98899e-07
52  53.7284  8.59322e-07
53  57.9642  8.62673e-07
54  62.534  8.76331e-07
55  67.464  9.55267e-07
56  72.7828  1.02023e-06
57  78.5208  1.10174e-06
58  84.7112  1.14635e-06
59  91.3897  1.16924e-06
60  98.5947  1.14699e-06
61  106.368  1.13244e-06
62  114.754  1.11007e-06
63  123.8  1.08996e-06
64  133.561  1.06959e-06
65  144.09  1.05223e-06
66  155.45  1.03415e-06
67  167.706  1.02325e-06
68  180.927  1.01313e-06
69  195.191  1.00107e-06
70  210.58  9.89201e-07
71  227.181  9.82154e-07
72  245.092  9.73903e-07
73  264.414  9.63762e-07
74  285.26  9.57776e-07
75  307.75  9.52462e-07
76  332.012  9.49053e-07
77  358.187  9.41768e-07
78  386.426  9.35894e-07
79  416.891  9.18297e-07
